2001:250:6428::,24367,-1,cernet2 ix at zhejiang university
2001:250:6431::,23910,-1,china next generation internet cernet2
2001:250:6800::,24368,-1,cernet2 ix at xiamen university
2001:250:6802::,138373,-1,cernet2 regional ix at fuzhou university
2001:250:6807::,23910,-1,china next generation internet cernet2
2001:250:6808::,138373,-1,cernet2 regional ix at fuzhou university
2001:250:6809::,24368,-1,cernet2 ix at xiamen university
2001:250:680b::,138373,-1,cernet2 regional ix at fuzhou university
2001:250:680d::,24368,-1,cernet2 ix at xiamen university
2001:250:680e::,138373,-1,cernet2 regional ix at fuzhou university
2001:250:6810::,24368,-1,cernet2 ix at xiamen university
2001:250:6811::,138373,-1,cernet2 regional ix at fuzhou university
2001:250:6815::,24368,-1,cernet2 ix at xiamen university
2001:250:6817::,23910,-1,china next generation internet cernet2
2001:250:6818::,138373,-1,cernet2 regional ix at fuzhou university
2001:250:681a::,23910,-1,china next generation internet cernet2
2001:250:681b::,24368,-1,cernet2 ix at xiamen university
2001:250:681c::,138373,-1,cernet2 regional ix at fuzhou university
2001:250:681d::,24368,-1,cernet2 ix at xiamen university
2001:250:681e::,138373,-1,cernet2 regional ix at fuzhou university
2001:250:681f::,23910,-1,china next generation internet cernet2
2001:250:6c00::,138370,-1,cernet2 regional ix at nanchang university
2001:250:6c1f::,23910,-1,china next generation internet cernet2
2001:250:6c20::,138370,-1,cernet2 regional ix at nanchang university
2001:250:6c3a::,23910,-1,china next generation internet cernet2
2001:250:6c3d::,138370,-1,cernet2 regional ix at nanchang university
2001:250:6c3e::,23910,-1,china next generation internet cernet2
2001:250:6c3f::,138370,-1,cernet2 regional ix at nanchang university
2001:250:6c41::,23910,-1,china next generation internet cernet2
2001:250:6c42::,138370,-1,cernet2 regional ix at nanchang university
2001:250:6c44::,23910,-1,china next generation internet cernet2
2001:250:7000::,24370,-1,cernet2 ix at dalian university of technology
2001:250:7001::,24369,-1,cernet2 ix at northeast university
2001:250:7003::,23910,-1,china next generation internet cernet2
2001:250:7004::,24369,-1,cernet2 ix at northeast university
2001:250:7005::,24370,-1,cernet2 ix at dalian university of technology
2001:250:7007::,23910,-1,china next generation internet cernet2
2001:250:7008::,24369,-1,cernet2 ix at northeast university
